#{"t_start": 1781167131.9304278, "env_id": "None"}
r,l,t
2.738661,300,641.276093
-1.193376,300,642.296159
-1.600514,300,643.317776
-0.951466,300,646.768775
1.903063,300,649.114588
1.796931,300,650.170353
52.470057,233,650.96003
2.315638,300,651.910037
-1.205243,300,654.407159
53.324979,165,654.943033
53.225185,156,655.465421
53.968084,156,656.155332
53.354861,148,659.043182
53.172643,166,659.615666
53.684519,144,660.108975
53.772731,171,660.804913
53.100594,236,663.064135
-1.502447,300,664.017142
-0.730225,300,665.006053
52.860027,165,665.60347
-1.444026,300,668.120222
53.872498,152,671.073913
1.137879,300,672.031386
0.442626,300,672.938253
-1.377451,300,673.919617
-2.066776,300,676.403711
53.218508,154,676.92251
-1.743424,300,677.771506
-1.198343,300,678.727365
-0.768857,300,682.002824
1.449341,300,684.520575
1.536875,300,685.514967
1.752062,300,686.381939
-0.984891,300,687.3751
2.113433,300,689.891425
-1.4136,300,690.803344
53.415131,284,693.995961
51.979716,222,694.717556
-1.959544,300,697.313208
2.970236,300,698.45342
-1.499368,300,699.742245
1.924596,300,700.795768
1.570863,300,701.713138
52.157062,209,706.572007
-1.165505,300,707.578417
53.210913,185,708.181802
2.152126,300,709.062637
0.92721,300,711.68008
1.345692,300,712.545948
51.491896,240,713.384885
53.422612,218,714.095972
3.135417,300,717.53632
-1.741276,300,720.182683
53.613379,159,720.666223
1.403985,300,721.621552
2.446513,300,722.504551
53.247491,213,723.174449
1.924912,300,725.826676
2.525022,300,729.422797
3.123933,300,731.043324
1.984077,300,732.057094
52.445323,178,732.599934
-1.728063,300,735.300729
-1.841893,300,736.424766
-1.937762,300,737.868571
-1.616785,300,738.980682
-1.906809,300,743.7473
52.93454,155,744.247217
-2.275797,300,745.134649
-1.154577,300,746.06377
-0.899604,300,748.387958
53.813534,160,748.794665
2.031799,300,749.841533
-0.981774,300,753.25205
53.146794,157,753.802243
52.999826,215,754.633998
2.261163,300,757.442648
-1.233897,300,758.458979
53.218109,194,759.037939
3.702397,300,760.182302
2.618285,300,762.857074
-1.260162,300,766.331902
53.968039,181,766.877268
53.390388,164,767.424671
-2.057357,300,768.385014
-1.521561,300,771.013302
-1.324599,300,771.961697
1.482863,300,772.903097
53.88,171,773.529828
1.497636,300,777.035985
53.791141,146,779.158657
1.539445,300,780.003483
-1.295573,300,781.04583
52.079593,163,781.480902
3.619428,300,782.376404
-0.811848,300,785.037193
-1.566481,300,785.914872
-0.800112,300,789.499685
-1.932966,300,790.64228
2.148095,300,793.205653
53.805338,193,793.975557
1.633585,300,794.859
54.01456,171,795.509351
53.935356,152,796.141498
53.112386,157,796.703062
2.256354,300,799.15018
-1.151865,300,803.136547
52.920379,173,803.701233
0.533114,300,804.690689
2.327438,300,805.665736
-1.37668,300,808.135237
3.505077,300,808.962606
54.120916,170,809.469643
-2.079923,300,812.644787
1.460441,300,815.218934
-2.029425,300,816.147868
2.348467,300,817.206402
2.529062,300,818.121399
1.075154,300,819.005174
-0.964322,300,821.685535
53.201542,166,822.147843
1.997486,300,825.545101
-1.509802,300,826.465108
52.978774,178,827.027949
53.552338,165,829.19764
-1.674015,300,830.170801
1.535536,300,831.018213
53.990412,162,831.491414
1.538796,300,832.334109
-0.627161,300,837.233105
-0.60551,300,838.108924
3.349188,300,838.93119
53.040646,143,839.323251
52.925717,227,840.012474
53.952615,149,841.667643
53.862384,162,842.200032
1.390047,300,843.169045
54.018718,180,843.692562
-1.199472,300,846.815512
-1.453708,300,849.350982
-1.588884,300,850.250293
53.771709,165,850.88931
53.953363,161,851.420386
-1.573604,300,852.371919
53.586937,189,853.076243
52.879285,176,855.263322
-1.228565,300,858.684414
51.212821,210,859.43327
53.558728,150,860.003181
-1.450219,300,861.187005
53.816086,196,863.222578
3.421747,300,864.225413
1.24552,300,865.121115
52.055394,194,865.659185
52.739425,178,866.204114
52.63615,166,869.097595
-1.541245,300,871.551103
53.519776,147,872.022809
53.026705,148,872.563639
-1.119246,300,873.623245
53.832599,262,874.523788
-1.118918,300,876.834385
-1.319061,300,877.803002
54.04311,203,878.536469
2.774607,300,881.964729
2.519657,300,884.660899
1.408809,300,885.635625
2.713094,300,886.57189
-1.274688,300,887.676073
2.063903,300,888.75536
-0.883319,300,891.128562
