#{"t_start": 1781182046.04244, "env_id": "None"}
r,l,t
-17.911211,300,1206.078382
0.668625,300,1208.771312
-1.225672,300,1211.506157
-19.530408,300,1214.349912
-18.950114,300,1217.263409
53.280062,160,1218.803699
-13.821276,300,1221.654504
-10.78235,300,1224.384121
-13.988448,300,1227.126418
-5.736852,300,1229.822072
-0.987953,300,1232.633566
-5.058936,300,1235.331093
-6.525025,300,1238.145342
-22.319108,300,1240.956194
-32.178752,300,1243.745132
1.333557,300,1246.568746
-0.210086,300,1249.503603
-5.018039,300,1252.367499
53.511364,135,1253.731066
53.550489,130,1255.345222
-2.709016,300,1258.595506
1.466666,300,1261.532158
-4.723478,300,1264.442647
53.35269,163,1266.096901
-2.037131,300,1269.000459
1.471498,300,1272.001269
1.731259,300,1274.857648
-24.35559,300,1277.689617
-2.373227,300,1280.674649
52.57342,161,1282.282965
-4.532428,300,1286.927162
1.205344,300,1289.68342
-1.25156,300,1292.621593
-1.839823,300,1295.53626
-2.319435,300,1298.379167
51.845353,156,1299.829116
0.934819,300,1302.758524
-4.01108,300,1305.4899
0.210049,300,1308.369151
-6.041654,300,1311.337026
-1.938604,300,1314.029788
-1.618798,300,1316.799222
-1.586938,300,1319.503559
-1.009132,300,1322.292369
-1.174917,300,1325.227486
-4.407877,300,1328.064396
-1.158361,300,1330.882018
-1.95095,300,1333.709655
-3.100574,300,1336.604587
-4.049948,300,1339.686966
-0.926837,300,1342.647567
-13.02191,300,1345.489605
-0.798486,300,1348.454953
-2.040931,300,1351.271882
-1.385743,300,1354.197994
-3.342188,300,1357.0834
1.065965,300,1359.95072
-0.491925,300,1362.773257
52.893666,192,1364.595287
0.362233,300,1367.365619
-3.104734,300,1370.294465
-1.669521,300,1373.202314
-1.083102,300,1376.156411
-2.863614,300,1378.903207
-1.061158,300,1383.68737
-1.894191,300,1386.511375
-1.273468,300,1389.766249
-1.515403,300,1392.949616
-0.59942,300,1396.24398
-2.4822,300,1399.20574
-3.971271,300,1402.040824
-0.665963,300,1404.898811
-0.173532,300,1407.690561
52.840296,136,1408.879997
-2.221763,300,1411.499061
-1.709625,300,1414.409024
-1.901694,300,1417.605096
-8.244861,300,1420.606966
-1.362374,300,1423.595858
0.987692,300,1426.413885
1.592771,300,1429.452391
52.371379,141,1431.009778
-1.090372,300,1434.130592
52.973546,161,1436.219826
52.457542,168,1438.05698
51.265999,166,1439.724851
-0.44637,300,1443.12934
0.116214,300,1446.2065
-1.474941,300,1449.141382
52.919865,158,1450.83098
-6.6712,300,1454.066699
-8.11205,300,1457.309428
-1.573181,300,1460.569835
-11.141084,300,1463.661906
-1.582261,300,1466.83461
52.376735,152,1468.394594
-1.050097,300,1471.65917
1.264269,300,1474.754904
-1.457017,300,1477.843209
-2.181267,300,1481.012539
-1.391522,300,1486.068138
53.110499,164,1487.574759
52.611579,146,1489.071195
-0.779207,300,1492.312869
-1.509449,300,1495.478653
51.751166,147,1497.0582
-1.906608,300,1500.202279
-0.765608,300,1503.460178
-0.48143,300,1506.325492
0.414559,300,1509.000555
-1.470285,300,1512.075456
-1.871293,300,1514.863986
52.475811,152,1516.347176
-4.202062,300,1519.634607
-0.244738,300,1522.782143
-2.50114,300,1525.895546
-2.123673,300,1529.114563
-2.449795,300,1532.326793
52.640052,139,1533.606317
53.205568,142,1534.906649
-0.954861,300,1537.775213
-3.130433,300,1540.498166
-4.847458,300,1543.198203
-2.963515,300,1546.180937
-2.048935,300,1549.065574
-1.307921,300,1551.811876
53.031012,156,1553.339702
53.286026,157,1554.945322
-1.912387,300,1558.322595
-7.375054,300,1562.030596
-0.809453,300,1565.064906
-1.702326,300,1568.164656
-6.722771,300,1571.346216
-0.835482,300,1574.351018
-0.768299,300,1577.595207
-1.440144,300,1580.917852
-0.75819,300,1584.373389
-1.328069,300,1588.043937
-0.474601,300,1593.599175
52.660967,186,1595.498848
-6.689892,300,1598.680121
-2.542144,300,1601.736343
-2.055774,300,1604.764111
0.441903,300,1607.747173
0.961227,300,1610.855948
-0.530295,300,1613.919891
-2.577517,300,1616.999236
-16.362323,300,1620.074728
-1.255551,300,1623.347307
-1.007851,300,1626.318864
2.248127,300,1629.366699
0.653633,300,1632.413902
-2.008794,300,1635.575191
-1.155318,300,1638.496205
-1.941101,300,1641.555261
-2.051747,300,1644.514407
-2.381979,300,1647.587674
-2.257857,300,1650.63404
-1.665483,300,1653.622791
-2.609857,300,1656.64735
-1.360529,300,1659.825133
-4.278068,300,1662.863825
53.540745,153,1664.446935
-1.455847,300,1667.639042
53.348459,130,1668.985124
-0.755682,300,1672.309901
-44.814139,300,1675.434364
-0.832113,300,1678.421494
53.260143,149,1679.973834
49.79066,223,1682.289223
1.608109,300,1685.341509
-0.653443,300,1688.423214
0.68998,300,1691.422473
-6.249337,300,1696.0981
-2.289048,300,1699.120946
-3.373214,300,1702.278591
-21.987326,300,1705.208411
-9.254972,300,1708.309703
-3.643471,300,1711.56722
-3.488044,300,1714.671291
-2.255366,300,1717.795979
-4.422175,300,1720.694974
-9.834071,300,1723.624688
-13.231291,300,1726.646035
-1.344731,300,1729.785552
52.246816,172,1731.567814
-15.236461,300,1734.509068
-4.587716,300,1737.428671
-6.968146,300,1740.549322
-1.997167,300,1743.51085
-1.292117,300,1746.478146
-3.164037,300,1749.46957
-1.044418,300,1752.461018
0.950629,300,1755.38124
-4.316865,300,1758.395744
52.863868,183,1760.212767
-2.6868,300,1763.176556
-2.822564,300,1766.302601
-3.014223,300,1769.482263
-0.697349,300,1772.695699
-2.666965,300,1775.780742
-1.63725,300,1778.714229
-50.5335,300,1781.649262
53.167182,142,1783.026
-3.338276,300,1786.011936
-0.697704,300,1788.958832
-3.225191,300,1791.947771
-0.834899,300,1794.873159
-1.455235,300,1799.775207
52.777845,193,1802.014308
53.130289,161,1803.729944
-1.244962,300,1806.737886
1.988686,300,1809.7171
-0.014798,300,1812.750778
-1.872426,300,1815.740705
-3.266883,300,1818.875916
-3.122827,300,1822.002073
-4.271771,300,1824.957648
53.240405,151,1826.45971
-10.451157,300,1829.375588
-2.853134,300,1832.528184
-2.540406,300,1835.504861
-3.031248,300,1838.604814
-3.606595,300,1841.606626
0.343663,300,1844.761779
-5.776514,300,1847.805635
-2.256061,300,1850.936908
-0.733027,300,1853.862196
-2.75377,300,1857.07908
-1.299882,300,1860.045435
-3.065595,300,1863.102491
-1.647044,300,1866.306999
-3.281016,300,1869.565115
0.03948,300,1872.801131
-6.551959,300,1876.046977
-1.248786,300,1879.48338
-1.503422,300,1882.966654
-12.87762,300,1886.131368
-8.945999,300,1889.204669
-6.183366,300,1892.520025
-3.718413,300,1895.988612
51.965425,230,1898.476196
-3.447418,300,1901.965504
0.383105,300,1907.242007
-6.389816,300,1910.485165
-3.643097,300,1913.786074
-1.783637,300,1916.802496
51.515751,194,1918.700106
-0.569931,300,1921.816227
0.58152,300,1924.831664
0.024407,300,1927.857796
-5.617419,300,1931.095468
-2.735541,300,1934.374547
-1.716519,300,1937.554841
1.135184,300,1940.643192
-16.176381,300,1943.568796
-1.773565,300,1946.624759
52.040868,217,1948.766371
-1.072202,300,1951.756686
-1.681257,300,1954.712272
-9.925382,300,1957.829994
-4.066073,300,1961.853759
-1.754987,300,1965.890057
-2.318055,300,1970.238106
52.126808,167,1972.047137
-3.787809,300,1975.311401
-16.739477,300,1978.756943
-3.524383,300,1982.206105
-5.737818,300,1985.469674
-9.675684,300,1988.757926
-1.084776,300,1992.078896
-7.228148,300,1995.182793
0.051854,300,1998.427297
-3.723568,300,2001.453174
-3.005475,300,2004.641508
-2.047577,300,2007.694793
-6.281709,300,2010.715396
-2.206292,300,2015.564319
53.211604,221,2017.825613
-28.49951,300,2021.007352
-2.291673,300,2024.441164
-1.092349,300,2027.694785
-1.819596,300,2031.211772
-4.39837,300,2034.164019
-0.70644,300,2037.251775
-2.940542,300,2040.241546
-3.424792,300,2043.203739
52.180828,165,2044.814292
-1.472875,300,2047.864819
-2.257815,300,2050.762612
52.658429,151,2052.25032
52.747226,188,2054.221688
-2.196896,300,2057.221866
53.326379,143,2058.619769
-1.060117,300,2061.719454
-1.264905,300,2064.848302
-3.282786,300,2067.868928
-1.112363,300,2070.866531
52.233252,155,2072.375223
53.397767,129,2073.652232
-1.2611,300,2076.719495
53.352216,129,2078.002969
